  
       XFOIL         Version 6.99
  
 Calculated polar for: wxtail-10                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.300 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
 -20.000  -1.0665   0.30215   0.38736   0.1530   1.0000   0.0249   1.0000  54.9828
 -19.800  -1.0614   0.29878   0.38022   0.1510   1.0000   0.0249   1.0000  54.9868
 -19.600  -1.0564   0.29534   0.37306   0.1490   1.0000   0.0249   1.0000  54.9905
 -19.400  -1.0514   0.29182   0.36587   0.1469   1.0000   0.0250   1.0000  54.9938
 -19.200  -1.0465   0.28821   0.35860   0.1449   1.0000   0.0250   1.0000  54.9971
 -18.600  -1.0322   0.27647   0.34650   0.1435   0.7962   0.0268  15.2426  55.1623
 -18.400  -1.0253   0.27434   0.34268   0.1426   0.7910   0.0274  15.4369  55.2101
 -18.200  -1.0186   0.27213   0.33842   0.1415   0.7869   0.0280  15.5885  55.2717
 -18.000  -1.0123   0.26979   0.33370   0.1402   0.7835   0.0290  15.7158  55.3533
 -17.800  -1.0063   0.26723   0.32846   0.1387   0.7806   0.0302  15.8252  55.4628
 -17.600  -1.0007   0.26440   0.32249   0.1369   0.7780   0.0318  15.9195  55.6029
 -17.200  -0.9966   0.25805   0.30073   0.1285   0.7751   0.0358  16.0284  55.9561
 -17.000  -0.9916   0.25509   0.29369   0.1262   0.7736   0.0360  16.0807  55.9723
 -16.800  -0.9867   0.25195   0.28696   0.1240   0.7721   0.0361  16.1331  55.9810
 -16.600  -0.9818   0.24870   0.28038   0.1219   0.7706   0.0361  16.1854  55.9868
 -16.400  -0.9770   0.24539   0.27388   0.1198   0.7692   0.0362  16.2376  55.9911
 -16.200  -0.9721   0.24201   0.26743   0.1177   0.7677   0.0362  16.2896  55.9945
 -16.000  -0.9673   0.23857   0.26098   0.1156   0.7663   0.0363  16.3414  55.9973
 -15.800  -0.9625   0.23508   0.25456   0.1135   0.7648   0.0363  16.3929  55.9996
 -15.600  -0.9632   0.22865   0.25034   0.1128   0.7636   0.0378  16.4355  56.1185
 -15.400  -0.9549   0.22691   0.24763   0.1123   0.7618   0.0383  16.5012  56.1555
 -15.200  -0.9467   0.22519   0.24470   0.1117   0.7599   0.0389  16.5658  56.1967
 -15.000  -0.9388   0.22331   0.24136   0.1109   0.7581   0.0395  16.6312  56.2435
 -14.800  -0.9318   0.22122   0.23746   0.1098   0.7561   0.0402  16.7022  56.2957
 -14.600  -0.9256   0.21886   0.23303   0.1085   0.7540   0.0409  16.7771  56.3525
 -14.400  -0.9201   0.21623   0.22814   0.1069   0.7518   0.0417  16.8540  56.4124
 -14.200  -0.9154   0.21327   0.22287   0.1051   0.7497   0.0425  16.9296  56.4736
 -14.000  -0.9114   0.20997   0.21727   0.1031   0.7477   0.0434  16.9996  56.5364
 -13.800  -0.9081   0.20640   0.21138   0.1010   0.7468   0.0443  17.0326  56.6086
 -13.600  -0.9057   0.20246   0.20487   0.0986   0.7460   0.0455  17.0628  56.6974
