  
       XFOIL         Version 6.99
  
 Calculated polar for: wxtail                                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.300 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -1.2421   0.03803   0.03002   0.0988   0.6748   0.0368
  -4.500  -1.2181   0.03562   0.02752   0.1027   0.6697   0.0398
  -4.000  -1.1912   0.03368   0.02549   0.1065   0.6663   0.0442
  -3.500  -1.1665   0.03168   0.02345   0.1108   0.6638   0.0519
  -3.000  -1.1401   0.02907   0.02121   0.1142   0.6556   0.0923
  -2.500  -1.1229   0.02627   0.01922   0.1192   0.6513   0.2148
  -2.000  -1.1137   0.02346   0.01741   0.1259   0.6483   0.3829
  -1.500  -1.0989   0.02159   0.01625   0.1323   0.6433   0.5158
  -1.000  -1.0700   0.02054   0.01553   0.1367   0.6358   0.5864
  -0.500  -1.0411   0.01969   0.01479   0.1417   0.6314   0.6355
   0.000  -1.0041   0.01921   0.01442   0.1459   0.6284   0.6843
   0.500  -0.8985   0.02187   0.01729   0.1393   0.6181   0.7235
   1.000  -0.8010   0.02475   0.02015   0.1351   0.6127   0.7387
   1.500  -0.7304   0.02613   0.02142   0.1344   0.6096   0.7466
   2.500  -0.5987   0.02786   0.02301   0.1326   0.5938   0.7594
   3.000  -0.6110   0.02783   0.02289   0.1438   0.5911   0.8069
   4.000  -0.4997   0.02872   0.02368   0.1451   0.5753   0.8300
   4.500  -0.4269   0.02843   0.02329   0.1433   0.5712   0.8324
   5.000  -0.3572   0.02852   0.02339   0.1413   0.5601   0.8386
   5.500  -0.2967   0.02825   0.02306   0.1415   0.5526   0.8492
   6.000  -0.2385   0.02834   0.02316   0.1416   0.5403   0.8638
   6.500  -0.1639   0.02768   0.02241   0.1393   0.5285   0.8696
   7.000  -0.0950   0.02744   0.02218   0.1377   0.5101   0.8850
   8.000   0.0514   0.02671   0.02150   0.1324   0.4487   0.9209
   8.500   0.1090   0.02678   0.02144   0.1315   0.3920   0.9367
   9.000   0.1871   0.02563   0.02008   0.1261   0.3036   0.9408
   9.500   0.2395   0.02737   0.02150   0.1246   0.2141   0.9527
  10.000   0.3197   0.02716   0.02085   0.1167   0.1085   0.9544
  10.500   0.4007   0.02810   0.02148   0.1082   0.0574   0.9563
  11.000   0.4733   0.02886   0.02226   0.1022   0.0483   0.9593
  11.500   0.5365   0.03011   0.02349   0.0981   0.0440   0.9635
  12.000   0.5757   0.03296   0.02640   0.0991   0.0410   0.9677
  12.500   0.6329   0.03319   0.02656   0.0969   0.0387   0.9685
  13.000   0.6899   0.03405   0.02762   0.0946   0.0371   0.9694
  13.500   0.7422   0.03553   0.02927   0.0930   0.0359   0.9704
  14.000   0.7919   0.03759   0.03150   0.0912   0.0348   0.9714
  14.500   0.8376   0.04041   0.03452   0.0895   0.0343   0.9725
  15.000   0.8735   0.04526   0.03965   0.0881   0.0336   0.9736
  15.500   0.9044   0.05206   0.04710   0.0794   0.0333   0.9758
  16.000   0.8865   0.06007   0.05555   0.0770   0.0332   0.9808
  16.500   0.8440   0.06580   0.06154   0.0790   0.0334   0.9829
  18.500   0.3842   0.16017   0.15739   0.0384   0.0518   0.9848
  19.000   0.3579   0.16666   0.16389   0.0334   0.0487   0.9855
  19.500   0.3631   0.17033   0.16758   0.0320   0.0465   0.9864
  20.000   0.3768   0.17353   0.17079   0.0317   0.0453   0.9875
